Trial,Discounted health benefit ($),Discounted income benefit ($),Total discounted benefit ($),Discounted costs ($),Benefit-cost ratio,,
36,"$248,691,069","$81,004,248","$329,695,317","$2,055,754",160.4,,
37,"$91,570,848","$54,069,192","$145,640,040","$1,254,183",116.1,,
38,"$133,553,559","$31,748,521","$165,302,080","$2,037,894",81.1,,
39,"$113,705,028","$91,109,475","$204,814,502","$2,540,993",80.6,,
40,"$130,787,677","$43,299,939","$174,087,616","$1,871,895",93.0,,
41,"$185,700,721","$83,038,968","$268,739,689","$1,814,093",148.1,,
42,"$43,163,603","$12,816,198","$55,979,801","$1,790,395",31.3,,
43,"$7,818,494","$3,327,807","$11,146,301","$1,243,470",9.0,,
44,"$14,175,624","$4,660,944","$18,836,568","$1,259,739",15.0,,
45,"$503,081,560","$89,737,038","$592,818,597","$2,339,775",253.4,,
46,"$472,258,030","$141,003,412","$613,261,441","$3,755,781",163.3,,
47,"$259,383,612","$84,134,481","$343,518,093","$2,725,095",126.1,,
48,"$176,372,927","$31,124,300","$207,497,227","$2,110,062",98.3,,
49,"-$68,708,961","-$19,981,711","-$88,690,672","$1,630,532",-54.4,,
50,"$70,810,321","$36,856,945","$107,667,266","$1,709,823",63.0,,
51,"$34,671,535","$11,109,323","$45,780,857","$1,282,562",35.7,,
52,"$125,589,622","$22,780,133","$148,369,755","$908,786",163.3,,
53,"$115,783,772","$44,588,416","$160,372,188","$2,037,713",78.7,,
54,"$116,035,247","$34,388,016","$150,423,263","$1,511,062",99.5,,
55,"$186,507,413","$40,089,415","$226,596,828","$1,542,120",146.9,,
56,"$148,539,880","$56,151,058","$204,690,938","$1,933,929",105.8,,
57,"$134,562,869","$25,860,852","$160,423,721","$2,109,006",76.1,,
58,"$29,083,863","$7,658,165","$36,742,028","$1,047,269",35.1,,
59,"$340,916,256","$63,781,794","$404,698,050","$1,936,083",209.0,,
60,"$144,137,772","$38,501,616","$182,639,388","$1,754,616",104.1,,
61,"$528,448,909","$75,800,765","$604,249,674","$2,673,736",226.0,,
62,"$277,363,396","$105,098,755","$382,462,151","$2,078,552",184.0,,
63,"$234,373,130","$78,113,071","$312,486,201","$2,112,923",147.9,,
64,"$281,097,516","$65,424,103","$346,521,619","$2,027,584",170.9,,
65,"$205,867,339","$46,820,096","$252,687,435","$1,259,749",200.6,,
66,"$787,794,651","$322,589,468","$1,110,384,119","$2,424,332",458.0,,
67,"$57,732,475","$22,274,469","$80,006,945","$1,967,380",40.7,,
68,"$293,113,719","$43,428,838","$336,542,558","$2,172,200",154.9,,
69,"$72,538,437","$27,914,749","$100,453,186","$2,272,266",44.2,,
70,"$435,289,845","$95,215,429","$530,505,275","$2,071,744",256.1,,
71,"$39,828,085","$24,265,671","$64,093,756","$2,351,437",27.3,,
72,"$366,611,284","$92,645,756","$459,257,041","$1,708,999",268.7,,
73,"$52,073,395","$10,852,859","$62,926,254","$1,431,124",44.0,,
74,"$34,901,051","$17,328,969","$52,230,020","$2,317,995",22.5,,
75,"$87,352,550","$28,615,740","$115,968,290","$1,717,361",67.5,,
76,"$309,721,148","$47,245,131","$356,966,278","$1,399,010",255.2,,
77,"$228,988,831","$51,335,799","$280,324,630","$1,758,860",159.4,,
78,"$26,406,133","$17,646,182","$44,052,315","$2,816,408",15.6,,
79,"$62,098,286","$8,648,074","$70,746,360","$2,533,911",27.9,,
80,"$37,398,134","$12,485,434","$49,883,568","$2,680,234",18.6,,
81,"$34,933,093","$11,317,585","$46,250,678","$2,068,033",22.4,,
82,"$58,904,163","$68,735,059","$127,639,222","$1,856,839",68.7,,
83,"$180,569,925","$64,809,490","$245,379,416","$2,286,176",107.3,,
84,"$292,039,715","$62,561,401","$354,601,116","$3,087,332",114.9,,
85,"$176,311,382","$52,165,386","$228,476,768","$2,884,169",79.2,,
86,"$194,041,826","$98,623,487","$292,665,313","$1,966,561",148.8,,
87,"$139,874,082","$51,110,825","$190,984,908","$1,639,724",116.5,,
88,"$209,506,984","$75,357,075","$284,864,059","$2,009,388",141.8,,
89,"$173,729,731","$41,222,729","$214,952,460","$1,846,694",116.4,,
90,"$172,192,564","$50,187,280","$222,379,845","$2,951,183",75.4,,
91,"$108,166,416","$47,210,001","$155,376,416","$1,496,211",103.8,,
92,"$276,127,221","$106,781,010","$382,908,230","$1,983,392",193.1,,
93,"$447,193,902","$63,330,140","$510,524,042","$2,250,170",226.9,,
94,"$211,975,928","$46,509,493","$258,485,421","$1,086,969",237.8,,
95,"$154,275,602","$55,198,261","$209,473,863","$1,686,441",124.2,,
96,"$78,934,252","$62,096,961","$141,031,212","$1,752,359",80.5,,
97,"$104,077,477","$41,539,054","$145,616,531","$2,829,879",51.5,,
98,"$47,632,111","$25,863,201","$73,495,312","$1,326,769",55.4,,
99,"$609,401,222","$258,558,680","$867,959,902","$3,082,793",281.5,,
100,"$86,928,520","$32,526,582","$119,455,102","$1,934,507",61.7,,
101,"$391,153,307","$116,460,671","$507,613,978","$2,274,623",223.2,,
102,"$6,255,340","$2,811,728","$9,067,068","$776,557",11.7,,
103,"$180,421,878","$76,332,692","$256,754,570","$2,182,634",117.6,,
104,"$239,388,133","$97,988,105","$337,376,238","$1,902,478",177.3,,
105,"$44,848,458","$12,009,259","$56,857,717","$819,310",69.4,,
106,"$119,236,566","$21,057,336","$140,293,902","$1,635,368",85.8,,
107,"$792,342,745","$88,843,815","$881,186,560","$4,188,352",210.4,,
108,"$342,469,719","$115,372,702","$457,842,421","$3,104,852",147.5,,
109,"$165,627,320","$64,984,345","$230,611,665","$1,842,091",125.2,,
