Trial,Discounted health benefit ($),Discounted income benefit ($),Total discounted benefit ($),Discounted costs ($),Benefit-cost ratio,,
620,"$18,420,288","$151,218,215","$169,638,503","$3,699,950",45.8,,
621,"$12,031,810","$79,331,374","$91,363,184","$3,666,773",24.9,,
622,"$22,175,503","$95,568,515","$117,744,018","$2,193,052",53.7,,
623,"$34,834,215","$188,451,402","$223,285,617","$3,262,154",68.4,,
624,"$3,881,843","$25,807,785","$29,689,628","$765,779",38.8,,
625,"$66,248,516","$453,492,315","$519,740,830","$3,249,797",159.9,,
626,"$21,969,230","$163,666,703","$185,635,932","$1,466,650",126.6,,
627,"$33,231,630","$176,577,356","$209,808,986","$2,055,276",102.1,,
628,"$3,852,645","$43,711,509","$47,564,154","$1,970,737",24.1,,
629,"$6,872,836","$60,553,783","$67,426,619","$1,184,063",56.9,,
630,"$8,538,122","$66,283,088","$74,821,210","$2,250,144",33.3,,
631,"$2,252,490","$15,609,351","$17,861,840","$1,893,935",9.4,,
632,"$14,499,210","$145,161,100","$159,660,310","$2,734,705",58.4,,
633,"$4,403,317","$43,657,648","$48,060,965","$2,070,505",23.2,,
634,"$11,347,601","$114,820,077","$126,167,679","$1,753,195",72.0,,
635,"$6,849,694","$59,409,260","$66,258,954","$1,190,662",55.6,,
636,"$8,105,541","$92,873,613","$100,979,154","$1,943,885",51.9,,
637,"$12,969,021","$120,837,301","$133,806,322","$2,914,376",45.9,,
638,"$20,546,639","$144,045,709","$164,592,348","$2,575,927",63.9,,
639,"$22,006,670","$327,713,643","$349,720,312","$2,700,574",129.5,,
640,"$11,786,223","$85,921,005","$97,707,228","$3,934,563",24.8,,
641,"$10,030,221","$120,024,643","$130,054,865","$2,183,556",59.6,,
642,"$2,664,483","$16,720,412","$19,384,895","$2,619,712",7.4,,
643,"$23,553,985","$288,176,333","$311,730,318","$977,660",318.9,,
644,"$7,154,607","$61,699,429","$68,854,037","$1,979,244",34.8,,
645,"$7,400,832","$62,195,818","$69,596,650","$1,548,835",44.9,,
646,"$21,787,822","$263,726,210","$285,514,033","$2,648,663",107.8,,
647,"$17,198,852","$134,593,680","$151,792,532","$2,821,268",53.8,,
648,"$8,618,164","$63,928,853","$72,547,017","$5,013,433",14.5,,
649,"$3,679,654","$38,469,527","$42,149,182","$2,953,696",14.3,,
650,"$36,186,714","$351,361,733","$387,548,446","$4,218,824",91.9,,
651,"$26,626,549","$128,140,337","$154,766,886","$3,625,562",42.7,,
652,"$12,518,955","$66,988,376","$79,507,331","$1,155,146",68.8,,
653,"$4,099,323","$44,144,655","$48,243,978","$3,069,991",15.7,,
654,"$24,002,172","$208,189,446","$232,191,619","$2,703,797",85.9,,
655,"$10,287,169","$232,228,304","$242,515,472","$2,174,279",111.5,,
656,"$5,935,873","$97,110,170","$103,046,042","$3,324,105",31.0,,
657,"$16,170,677","$176,394,547","$192,565,224","$3,193,235",60.3,,
